Variable Name,Variable Description
OHX05CSC,"Coronal Caries: Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX06CSC,"Coronal Caries: Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX07CSC,"Coronal Caries: Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX08CSC,"Coronal Caries: Upper right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX09CSC,"Coronal Caries: Upper left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX10CSC,"Coronal Caries: Upper left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX11CSC,"Coronal Caries: Upper left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX12CSC,"Coronal Caries: Upper left 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX13CSC,"Coronal Caries: Upper left 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX14CSC,"Coronal Caries: Upper left 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX15CSC,"Coronal Caries: Upper left 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX18CSC,"Coronal Caries: Lower left 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX19CSC,"Coronal Caries: Lower left 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX20CSC,"Coronal Caries: Lower left 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX21CSC,"Coronal Caries: Lower left 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX22CSC,"Coronal Caries: Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX23CSC,"Coronal Caries: Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX24CSC,"Coronal Caries: Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX25CSC,"Coronal Caries: Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX26CSC,"Coronal Caries: Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX27CSC,"Coronal Caries: Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX28CSC,"Coronal Caries: Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX29CSC,"Coronal Caries: Lower right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX30CSC,"Coronal Caries: Lower right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX31CSC,"Coronal Caries: Lower right 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX02SE,"Dental Sealants: Upper right 2nd molar (2M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX03SE,"Dental Sealants: Upper right 1st molar (1M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX04SE,"Dental Sealants: Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX05SE,"Dental Sealants: Upper right 1st biscuspid/1st primary molar (1B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX07SE,"Dental Sealants: Upper right lateral incisor (LI) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX10SE,"Dental Sealants: Upper left lateral incisor (LI) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX12SE,"Dental Sealants: Upper left 1st biscuspid/1st primary molar (1B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX13SE,"Dental Sealants: Upper left 2nd bicuspid/2nd primary molar (2B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX14SE,"Dental Sealants: Upper left 1st molar (1M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX15SE,"Dental Sealants: Upper left 2nd molar (2M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX18SE,"Dental Sealants: Lower left 2nd molar (2M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX19SE,"Dental Sealants: Lower left 1st molar (1M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX20SE,"Dental Sealants: Lower left 2nd bicuspid/2nd primary molar (2B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX21SE,"Dental Sealants: Lower left 1st bicuspid/1st primary molar (1B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX28SE,"Dental Sealants: Lower right 1st bicuspid/1st primary molar (1B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX29SE,"Dental Sealants: Lower right 2nd bicuspid/2nd primary molar (2B) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX30SE,"Dental Sealants: Lower right 1st molar (1M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX31SE,"Dental Sealants: Lower right 2nd molar (2M) sealant codes. These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
SEQN,Respondent sequence number.
OHDEXSTS,Overall Oral Health Exam Status
OHDPDSTS,Periodontal Status Code
OHDEXCLU,Excluded from perio exam for med reasons
OHX02CJD,Loss of Attachment: Upper right 2nd molar (2M) distal - FGM to CEJ measurement (mm)
OHX02CJM,Loss of Attachment: Upper right 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)
OHX02CJS,Loss of Attachment: Upper right 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)
OHX02CJP,Loss of Attachment: Upper right 2nd molar (2M) distal - lingual - FGM to CEJ measurement (mm)
OHX02CJL,Loss of Attachment: Upper right 2nd molar (2M) mid - lingual - FGM to CEJ measurement (mm)
OHX02CJA,Loss of Attachment: Upper right 2nd molar (2M) mesio- lingual - FGM to CEJ measurement (mm)
OHX02PCD,Loss of Attachment: Upper right 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm)
OHX02PCM,Loss of Attachment: Upper right 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX02PCS,Loss of Attachment: Upper right 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX02PCP,Loss of Attachment: Upper right 2nd molar (2M) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX02PCL,Loss of Attachment: Upper right 2nd molar (2M) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX02PCA,Loss of Attachment: Upper right 2nd molar (2M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX02LAD,Loss of Attachment: Upper right 2nd molar (2M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX02LAM,Loss of Attachment: Upper right 2nd molar (2M) mid-facial - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)
OHX02LAS,Loss of Attachment: Upper right 2nd molar (2M) mesio-facial - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)
OHX02LAP,Loss of Attachment: Upper right 2nd molar (2M) distal lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)
OHX02LAL,Loss of Attachment: Upper right 2nd molar (2M) mid- lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)
OHX02LAA,Loss of Attachment: Upper right 2nd molar (2M) mesio- lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)
OHX03CJD,Loss of Attachment: Upper right 1st molar (1M) distal - FGM to CEJ measurement (mm)
OHX03CJM,Loss of Attachment: Upper right 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)
OHX03CJS,Loss of Attachment: Upper right 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)
OHX03CJP,Loss of Attachment: Upper right 1st molar (1M) distal - lingual - FGM to CEJ measurement (mm)
OHX03CJL,Loss of Attachment: Upper right 1st molar (1M) mid - lingual - FGM to CEJ measurement (mm)
OHX03CJA,Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - FGM to CEJ measurement (mm)
OHX03PCD,Loss of Attachment: Upper right 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm)
OHX03PCM,Loss of Attachment: Upper right 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX03PCS,Loss of Attachment: Upper right 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX03PCP,Loss of Attachment: Upper right 1st molar (1M) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX03PCL,Loss of Attachment: Upper right 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX03PCA,Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX03LAD,Loss of Attachment: Upper right 1st molar (1M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX03LAM,Loss of Attachment: Upper right 1st molar (1M) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX03LAS,Loss of Attachment: Upper right 1st molar (1M) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX03LAP,Loss of Attachment: Upper right 1st molar (1M) distal lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)
OHX03LAL,Loss of Attachment: Upper right 1st molar (1M) mid- lingual - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX03LAA,Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX04CJD,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm)
OHX04CJM,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)
OHX04CJS,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)
OHX04CJP,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to CEJ measurement (mm)
OHX04CJL,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid - lingual - FGM to CEJ measurement (mm)
OHX04CJA,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to CEJ measurement (mm)
OHX04PCD,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm)
OHX04PCM,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX04PCS,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX04PCP,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX04PCL,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX04PCA,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX04LAD,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX04LAM,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX04LAS,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX04LAP,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)
OHX04LAL,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid- lingual - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX04LAA,Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX05CJD,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - FGM to CEJ measurement (mm)
OHX05CJM,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to CEJ measurement (mm)
OHX05CJS,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to CEJ measurement (mm)
OHX05CJP,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to CEJ measurement (mm)
OHX05CJL,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to CEJ measurement (mm)
OHX05CJA,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to CEJ measurement (mm)
OHX05PCD,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - FGM to sulcus base (pocket depth) (mm)
OHX05PCM,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to sulcus base (pocket depth)(mm)
OHX05PCS,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX05PCP,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX05PCL,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX05PCA,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX05LAD,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX05LAM,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX05LAS,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX05LAP,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX05LAL,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX05LAA,Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX06CJD,Loss of Attachment: Upper right cuspid (C) distal - FGM to CEJ measurement (mm)
OHX06CJM,Loss of Attachment: Upper right cuspid (C) mid-facial - FGM to CEJ measurement (mm)
OHX06CJS,Loss of Attachment: Upper right cuspid (C) mesio-facial - FGM to CEJ measurement (mm)
OHX06CJP,Loss of Attachment: Upper right cuspid (C) distal - lingual - FGM to CEJ measurement (mm)
OHX06CJL,Loss of Attachment: Upper right cuspid (C) mid- lingual - FGM to CEJ measurement (mm)
OHX06CJA,Loss of Attachment: Upper right cuspid (C) mesio- lingual - FGM to CEJ measurement (mm)
OHX06PCD,Loss of Attachment: Upper right cuspid (C) distal - FGM to sulcus base (pocket depth) (mm)
OHX06PCM,Loss of Attachment: Upper right cuspid (C) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX06PCS,Loss of Attachment: Upper right cuspid (C) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX06PCP,Loss of Attachment: Upper right cuspid (C) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX06PCL,Loss of Attachment: Upper right cuspid (C) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX06PCA,Loss of Attachment: Upper right cuspid (C) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX06LAD,Loss of Attachment: Upper right cuspid (C) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX06LAM,Loss of Attachment: Upper right cuspid (C) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX06LAS,Loss of Attachment: Upper right cuspid (C) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX06LAP,Loss of Attachment: Upper right cuspid (C) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX06LAL,Loss of Attachment: Upper right cuspid (C) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX06LAA,Loss of Attachment: Upper right cuspid (C) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX07CJD,Loss of Attachment: Upper right lateral incisor (LI) distal - FGM to CEJ measurement (mm)
OHX07CJM,Loss of Attachment: Upper right lateral incisor (LI) mid-facial - FGM to CEJ measurement (mm)
OHX07CJS,Loss of Attachment: Upper right lateral incisor (LI) mesio-facial - FGM to CEJ measurement (mm)
OHX07CJP,Loss of Attachment: Upper right lateral incisor (LI) distal - lingual - FGM to CEJ measurement (mm)
OHX07CJL,Loss of Attachment: Upper right lateral incisor (LI) mid- lingual - FGM to CEJ measurement (mm)
OHX07CJA,Loss of Attachment: Upper right lateral incisor (LI) mesio- lingual - FGM to CEJ measurement (mm)
OHX07PCD,Loss of Attachment: Upper right lateral incisor (LI) distal - FGM to sulcus base (pocket depth) (mm)
OHX07PCM,Loss of Attachment: Upper right lateral incisor (LI) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX07PCS,Loss of Attachment: Upper right lateral incisor (LI) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX07PCP,Loss of Attachment: Upper right lateral incisor (LI) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX07PCL,Loss of Attachment: Upper right lateral incisor (LI) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX07PCA,Loss of Attachment: Upper right lateral incisor (LI) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX07LAD,Loss of Attachment: Upper right lateral incisor (LI) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX07LAM,Loss of Attachment: Upper right lateral incisor (LI) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX07LAS,Loss of Attachment: Upper right lateral incisor (LI) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX07LAP,Loss of Attachment: Upper right lateral incisor (LI) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX07LAL,Loss of Attachment: Upper right lateral incisor (LI) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX07LAA,Loss of Attachment: Upper right lateral incisor (LI) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX08CJD,Loss of Attachment: Upper right central incisor (CI) distal - FGM to CEJ measurement (mm)
OHX08CJM,Loss of Attachment: Upper right central incisor (CI) mid-facial - FGM to CEJ measurement (mm)
OHX08CJS,Loss of Attachment: Upper right central incisor (CI) mesio-facial - FGM to CEJ measurement (mm)
OHX08CJP,Loss of Attachment: Upper right central incisor (CI) distal - lingual - FGM to CEJ measurement (mm)
OHX08CJL,Loss of Attachment: Upper right central incisor (CI) mid- lingual - FGM to CEJ measurement (mm)
OHX08CJA,Loss of Attachment: Upper right central incisor (CI) mesio- lingual - FGM to CEJ measurement (mm)
OHX08PCD,Loss of Attachment: Upper right central incisor (CI) distal - FGM to sulcus base (pocket depth) (mm)
OHX08PCM,Loss of Attachment: Upper right central incisor (CI) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX08PCS,Loss of Attachment: Upper right central incisor (CI) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX08PCP,Loss of Attachment: Upper right central incisor (CI) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX08PCL,Loss of Attachment: Upper right central incisor (CI) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX08PCA,Loss of Attachment: Upper right central incisor (CI) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX08LAD,Loss of Attachment: Upper right central incisor (CI) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX08LAM,Loss of Attachment: Upper right central incisor (CI) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX08LAS,Loss of Attachment: Upper right central incisor (CI) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX08LAP,Loss of Attachment: Upper right central incisor (CI) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX08LAL,Loss of Attachment: Upper right central incisor (CI) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX08LAA,Loss of Attachment: Upper right central incisor (CI) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX09CJD,Loss of Attachment: Upper left central incisor (CI) distal - FGM to CEJ measurement (mm)
OHX09CJM,Loss of Attachment: Upper left central incisor (CI) mid-facial - FGM to CEJ measurement (mm)
OHX09CJS,Loss of Attachment: Upper left central incisor (CI) mesio-facial - FGM to CEJ measurement (mm)
OHX09CJP,Loss of Attachment: Upper left central incisor (CI) distal - lingual - FGM to CEJ measurement (mm)
OHX09CJL,Loss of Attachment: Upper left central incisor (CI) mid- lingual - FGM to CEJ measurement (mm)
OHX09CJA,Loss of Attachment: Upper left central incisor (CI) mesio- lingual - FGM to CEJ measurement (mm)
OHX09PCD,Loss of Attachment: Upper left central incisor (CI) distal - FGM to sulcus base (pocket depth) (mm)
OHX09PCM,Loss of Attachment: Upper left central incisor (CI) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX09PCS,Loss of Attachment: Upper left central incisor (CI) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX09PCP,Loss of Attachment: Upper left central incisor (CI) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX09PCL,Loss of Attachment: Upper left central incisor (CI) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX09PCA,Loss of Attachment: Upper left central incisor (CI) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX09LAD,Loss of Attachment: Upper left central incisor (CI) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX09LAM,Loss of Attachment: Upper left central incisor (CI) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX09LAS,Loss of Attachment: Upper left central incisor (CI) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX09LAP,Loss of Attachment: Upper left central incisor (CI) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX09LAL,Loss of Attachment: Upper left central incisor (CI) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX09LAA,Loss of Attachment: Upper left central incisor (CI) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX10CJD,Loss of Attachment: Upper left lateral incisor (LI) distal - FGM to CEJ measurement (mm)
OHX10CJM,Loss of Attachment: Upper left lateral incisor (LI) mid-facial - FGM to CEJ measurement (mm)
OHX10CJS,Loss of Attachment: Upper left lateral incisor (LI) mesio-facial - FGM to CEJ measurement (mm)
OHX10CJP,Loss of Attachment: Upper left lateral incisor (LI) distal - lingual - FGM to CEJ measurement (mm)
OHX10CJL,Loss of Attachment: Upper left lateral incisor (LI) mid- lingual - FGM to CEJ measurement (mm)
OHX10CJA,Loss of Attachment: Upper left lateral incisor (LI) mesio- lingual - FGM to CEJ measurement (mm)
OHX10PCD,Loss of Attachment: Upper left lateral incisor (LI) distal - FGM to sulcus base (pocket depth) (mm)
OHX10PCM,Loss of Attachment: Upper left lateral incisor (LI) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX10PCS,Loss of Attachment: Upper left lateral incisor (LI) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX10PCP,Loss of Attachment: Upper left lateral incisor (LI) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX10PCL,Loss of Attachment: Upper left lateral incisor (LI) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX10PCA,Loss of Attachment: Upper left lateral incisor (LI) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX10LAD,Loss of Attachment: Upper left lateral incisor (LI) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX10LAM,Loss of Attachment: Upper left lateral incisor (LI) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX10LAS,Loss of Attachment: Upper left lateral incisor (LI) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX10LAP,Loss of Attachment: Upper left lateral incisor (LI) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX10LAL,Loss of Attachment: Upper left lateral incisor (LI) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX10LAA,Loss of Attachment: Upper left lateral incisor (LI) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX11CJD,Loss of Attachment: Upper left cuspid (C) distal - FGM to CEJ measurement (mm)
OHX11CJM,Loss of Attachment: Upper left cuspid (C) mid-facial - FGM to CEJ measurement (mm)
OHX11CJS,Loss of Attachment: Upper left cuspid (C) mesio-facial - FGM to CEJ measurement (mm)
OHX11CJP,Loss of Attachment: Upper left cuspid (C) distal - lingual - FGM to CEJ measurement (mm)
OHX11CJL,Loss of Attachment: Upper left cuspid (C) mid- lingual - FGM to CEJ measurement (mm)
OHX11CJA,Loss of Attachment: Upper left cuspid (C) mesio- lingual - FGM to CEJ measurement (mm)
OHX11PCD,Loss of Attachment: Upper left cuspid (C) distal - FGM to sulcus base (pocket depth) (mm)
OHX11PCM,Loss of Attachment: Upper left cuspid (C) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX11PCS,Loss of Attachment: Upper left cuspid (C) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX11PCP,Loss of Attachment: Upper left cuspid (C) distal - lingual - FGM to sulcus base (pocket depth) (mm)
